Nodules	Area	Mean	Min	Max
186+4_3.xls:32	0.006	98.044	74	127
186+4_3.xls:33	0.014	69.217	45	107
186+4_3.xls:34	0.019	69.513	53	102
186+4_3.xls:35	0.046	52.455	29	109
186+4_3.xls:36	0.049	60.11	38	127
186+4_3.xls:37	0.022	67.963	47	121
186+4_3.xls:38	0.012	74.901	61	98
186+4_3.xls:39	0.04	62.266	38	118
186+4_3.xls:40	0.027	71.421	49	130
186+4_3.xls:41	0.026	61.276	41	131
186+4_3.xls:42	0.03	62.486	43	110
186+4_3.xls:43	0.008	90.485	73	110
186+4_3.xls:44	0.04	64.826	38	128
186+4_3.xls:45	0.006	95.785	75	123
186+4_3.xls:46	0.015	80.118	56	120
186+4_3.xls:47	0.01	89.984	74	114
186+4_3.xls:48	0.053	59.361	34	115
186+4_3.xls:49	0.007	87.536	67	126
186+4_3.xls:50	0.006	95.575	73	127
186+4_4.xls:1	0.004	142.438	125	161
186+4_4.xls:2	0.01	125.56	102	158
186+4_4.xls:3	0.006	144.083	117	158
186+4_4.xls:4	0.004	127.942	113	146
186+4_4.xls:5	0.004	128.009	111	144
186+4_5.xls:1	0.013	70.745	55	108
186+4_5.xls:2	0.015	78.381	63	114
186+4_5.xls:3	0.017	70.659	55	109
186+4_5.xls:4	0.022	55.795	40	111
186+4_5.xls:5	0.04	48.858	34	106
186+4_5.xls:6	0.028	53.901	38	100
186+4_5.xls:7	0.006	73.17	60	101
186+4_5.xls:8	0.035	47.174	27	106
186+4_5.xls:9	0.006	85.599	75	111
186+4_5.xls:10	0.094	42.979	15	119
186+4_5.xls:11	0.038	61.565	48	114
186+4_5.xls:12	0.002	80.241	52	116
186+4_6.xls:1	0.007	104.903	92	126
186+4_6.xls:2	0.009	84.974	64	112
186+4_6.xls:3	0.032	70.31	50	108
186+4_6.xls:4	0.007	104.53	90	121
186+4_6.xls:5	0.024	79.281	45	128
186+4_6.xls:6	0.015	82.721	58	128
186+4_6.xls:7	0.014	98.634	77	128
186+4_6.xls:8	0.008	102.311	89	130
186+4_6.xls:9	0.008	88.838	70	120
186+4_6.xls:10	0.004	89.386	80	104
186+4_6.xls:11	0.005	101.105	91	116
186+4_6.xls:12	0.019	68.551	51	124
186+4_6.xls:13	0.018	64.494	39	125
186+4_6.xls:14	0.029	83.481	62	134
186+4_6.xls:15	0.01	101.67	76	137
186+4_6.xls:16	0.014	94.514	73	132
186+4_6.xls:17	0.012	77.541	48	119
186+4_6.xls:18	0.014	82.189	60	117
186+4_6.xls:19	0.011	80.175	59	129
186+4_6.xls:20	0.026	69.94	43	131
186+4_6.xls:21	0.017	72.678	46	119
186+4_6.xls:22	0.011	91.382	61	130
186+4_6.xls:23	0.014	89.883	72	125
186+4_6.xls:24	0.048	91.344	67	147
186+4_6.xls:25	0.047	71.101	39	133
186+4_6.xls:26	0.055	57.264	32	105
186+4_6.xls:27	0.021	67.15	37	119
186+4_6.xls:28	0.027	70.996	48	128
186+4_6.xls:29	0.008	90.691	67	132
186+4_6.xls:30	0.026	65.449	40	101
186+4_6.xls:31	0.008	107.507	94	127
186+4_6.xls:32	0.004	111.629	95	131
186+4_6.xls:33	0.017	74.87	46	128
186+4_6.xls:34	0.01	88.784	57	133
186+4_6.xls:35	0.007	98.19	77	136
186+4_6.xls:36	0.02	84.524	60	126
186+4_6.xls:37	0.016	83.582	52	139
186+4_6.xls:38	0.008	91.745	70	127
186+4_6.xls:39	0.005	123.325	113	143
186+4_6.xls:40	0.018	100.943	76	137
186+4_6.xls:41	0.032	72.804	45	123
186+4_6.xls:42	0.049	57.271	28	123
186+4_6.xls:43	0.006	102.098	80	134
186+4_6.xls:44	0.027	69.145	43	132
186+4_6.xls:45	0.017	92.785	70	133
186+4_6.xls:46	0.008	107.474	93	133
186+4_6.xls:47	0.005	112.193	99	143
186+4_6.xls:48	0.008	123.847	100	150
186+4_6.xls:49	0.023	64.073	36	133
186+4_6.xls:50	0.007	95.647	82	114
186+4_6.xls:51	0.028	69.389	44	124
186+4_6.xls:52	0.012	76.481	48	129
186+4_7.xls:1	0.005	97.078	87	110
186+4_7.xls:2	0.008	60.804	40	104
186+4_7.xls:3	0.017	55.958	39	106
186+4_7.xls:4	0.016	50.646	28	118
186+4_7.xls:5	0.019	62.022	38	98
186+4_7.xls:6	0.028	54.506	32	99
186+4_7.xls:7	0.005	69.762	53	110
186+4_7.xls:8	0.01	52.632	36	112
186+4_7.xls:9	0.017	53.693	37	97
186+4_7.xls:10	0.017	57.783	39	92
186+4_7.xls:11	0.005	68.04	49	100
186+4_7.xls:12	0.004	78.73	65	107
186+4_7.xls:13	0.022	65.498	43	115
186+4_7.xls:14	0.005	77.75	58	107
186+4_8.xls:1	0.004	114.179	101	133
186+4_8.xls:2	0.012	92.236	67	129
186+4_8.xls:3	0.006	93.343	75	133
186+4_8.xls:4	0.007	93.219	72	133
186+4_8.xls:5	0.008	77.906	56	128
186+4_8.xls:6	0.019	81.435	64	126
186+4_8.xls:7	0.017	80.25	60	115
186+4_8.xls:8	0.019	75.746	46	119
186+4_8.xls:9	0.016	77.301	57	106
186+4_8.xls:10	0.011	81.221	60	114
186+4_8.xls:11	0.014	93.555	62	137
186+4_8.xls:12	0.015	96.301	79	127
186+4_8.xls:13	0.013	85.45	65	117
186+4_8.xls:14	0.019	92.481	73	127
186+4_9.xls:1	0.018	104.235	87	130
186+4_9.xls:2	0.01	84.392	64	128
186+4_9.xls:3	0.012	76.005	51	117
186+4_9.xls:4	0.012	80.554	38	128
186+4_9.xls:5	0.009	74.551	49	124
186+4_9.xls:6	0.008	79.21	53	121
186+4_9.xls:7	0.008	74.248	53	116
186+4_9.xls:8	0.021	54.055	31	121
186+4_9.xls:9	0.006	103.461	88	134
186+4_9.xls:10	0.005	93.36	76	115
186+4_9.xls:11	0.009	72.186	37	126
186_1.xls:1	0.033	52.475	38	90
186_1.xls:2	0.032	53.708	38	89
186_1.xls:3	0.034	52.893	39	88
186_1.xls:4	0.009	79.641	68	108
186_1.xls:5	0.024	68.588	52	106
186_1.xls:6	0.015	62.692	46	102
186_1.xls:7	0.018	70.762	46	114
186_1.xls:8	0.017	61.224	42	104
186_1.xls:9	0.007	76.266	56	102
186_1.xls:10	0.009	68.38	50	106
186_1.xls:11	0.003	85.034	67	112
186_1.xls:12	0.003	81.459	63	104
186_1.xls:13	0.007	90.754	76	123
186_1.xls:14	0.002	95.167	74	109
186_1.xls:15	0.009	78.524	52	117
186_10.xls:1	0.036	81.386	57	106
186_10.xls:2	0.011	77.915	61	101
186_10.xls:3	0.016	82.224	64	110
186_10.xls:4	0.021	72.997	49	117
186_10.xls:5	0.022	67.107	41	109
186_10.xls:6	0.012	74.942	55	109
186_10.xls:7	0.009	65.122	43	97
186_10.xls:8	0.02	59.24	41	104
186_10.xls:9	0.016	77.951	62	101
186_10.xls:10	0.02	72.234	51	109
186_10.xls:11	0.006	90.798	78	112
186_10.xls:12	0.008	79.883	49	114
186_10.xls:13	0.008	84.635	66	111
186_10.xls:14	0.013	66.182	45	104
186_10.xls:15	0.02	60.622	41	102
186_10.xls:16	0.013	64.347	42	99
186_10.xls:17	0.012	87.63	69	109
186_2.xls:1	0.045	94.525	70	135
186_2.xls:2	0.031	104.596	91	132
186_2.xls:3	0.029	104.598	85	147
186_2.xls:4	0.055	90.832	54	139
186_2.xls:5	0.038	87.734	57	132
186_2.xls:6	0.011	103.734	81	144
186_2.xls:7	0.03	87.604	72	132
186_2.xls:8	0.016	91.594	71	136
186_2.xls:9	0.012	111.304	98	133
186_2.xls:10	0.012	108.689	92	144
186_3.xls:1	0.046	105.961	87	150
186_3.xls:2	0.002	138.5	110	169
186_3.xls:3	0.003	138.583	107	164
186_3.xls:4	0.006	118.348	90	170
186_3.xls:5	0.005	123.508	98	164
186_3.xls:6	0.007	120.85	98	157
186_3.xls:7	0.021	96.721	63	162
186_3.xls:8	0.013	104.654	84	148
186_3.xls:9	0.019	101.12	64	175
186_3.xls:10	0.028	86.912	59	171
186_3.xls:11	0.027	103.363	78	172
186_3.xls:12	0.036	98.378	70	172
186_3.xls:13	0.046	102.679	72	172
186_3.xls:14	0.023	108.066	73	171
186_3.xls:15	0.013	101.171	72	161
186_3.xls:16	0.021	113.717	82	164
186_3.xls:17	0.017	115.722	83	169
186_3.xls:18	0.017	113.64	77	177
186_3.xls:19	0.012	115.286	91	171
186_3.xls:20	0.004	121.712	80	172
186_3.xls:21	0.003	125.023	97	170
186_3.xls:22	0.002	115.692	91	152
186_3.xls:23	0.014	111.767	88	169
186_3.xls:24	0.007	111.267	83	152
186_3.xls:25	0.034	102.055	65	177
186_3.xls:26	0.017	106.167	82	174
186_3.xls:27	0.051	107.179	72	184
186_3.xls:28	0.007	119.895	96	173
186_3.xls:29	0.043	90.721	55	179
186_3.xls:30	0.013	123.958	102	167
186_3.xls:31	0.035	82.652	42	175
186_3.xls:32	0.042	95.955	69	168
186_3.xls:33	0.04	111.85	74	182
186_4.xls:1	0.006	113.261	83	133
186_4.xls:2	0.005	106.222	90	127
186_4.xls:3	0.006	109.239	90	128
186_4.xls:4	0.014	106.246	90	133
186_4.xls:5	0.005	119.145	107	135
186_4.xls:6	0.003	121.392	112	135
186_4.xls:7	0.007	119.041	103	137
186_4.xls:8	0.022	106.275	89	140
186_4.xls:9	0.02	78.439	57	121
186_4.xls:10	0.019	76.198	55	121
186_4.xls:11	0.006	86.887	67	113
186_4.xls:12	0.004	102.435	75	132
186_4.xls:13	0.007	89.557	71	125
186_4.xls:14	0.011	91.373	74	127
186_4.xls:15	0.017	91.571	74	119
186_4.xls:16	0.019	84.507	66	119
186_4.xls:17	0.019	80.212	59	118
186_4.xls:18	0.014	76.676	52	126
186_4.xls:19	0.015	73.546	49	122
186_4.xls:20	0.042	74.622	47	110
186_4.xls:21	0.036	81.197	63	127
186_4.xls:22	0.028	73.667	49	130
186_4.xls:23	0.021	71.87	56	110
186_4.xls:24	0.005	91.595	71	124
186_5.xls:1	0.021	71.371	47	107
186_5.xls:2	0.014	75.087	52	106
186_5.xls:3	0.045	62.122	31	122
186_6.xls:1	0.02	81.319	70	106
186_6.xls:2	0.009	74.628	57	97
186_6.xls:3	0.009	67.41	47	98
186_6.xls:4	0.017	72.712	56	102
186_6.xls:5	0.026	55.302	40	82
186_6.xls:6	0.014	54.851	39	77
186_6.xls:7	0.034	45.815	27	94
186_6.xls:8	0.019	56.718	43	98
186_6.xls:9	0.022	76.285	55	112
186_6.xls:10	0.025	61.062	43	95
186_6.xls:11	0.026	73.728	53	112
186_6.xls:12	0.018	56.022	47	95
186_6.xls:13	0.01	57.542	44	95
186_6.xls:14	0.008	62.529	48	106
186_6.xls:15	0.01	65.757	46	99
186_6.xls:16	0.024	60.477	46	96
186_6.xls:17	0.026	75.695	62	130
186_6.xls:18	0.021	68.05	47	116
186_6.xls:19	0.02	59.692	42	105
186_6.xls:20	0.021	51.957	30	97
186_6.xls:21	0.013	61.65	46	94
186_6.xls:22	0.014	67.992	54	90
186_7.xls:1	0.035	110.065	89	153
186_7.xls:2	0.009	131.205	117	152
186_7.xls:3	0.006	128.403	113	150
186_7.xls:4	0.02	118.87	91	143
186_7.xls:5	0.018	120.134	102	156
186_7.xls:6	0.016	122.768	102	158
186_7.xls:7	0.009	125.768	101	152
186_7.xls:8	0.009	121.188	94	157
186_7.xls:9	0.031	120.467	98	143
186_7.xls:10	0.014	112.349	89	158
186_7.xls:11	0.032	110.063	88	167
186_7.xls:12	0.027	116.575	86	157
186_7.xls:13	0.037	101.343	63	164
186_7.xls:14	0.06	96.949	68	142
186_7.xls:15	0.06	86.698	44	168
186_7.xls:16	0.03	100.308	71	156
186_7.xls:17	0.013	99.801	74	142
186_7.xls:18	0.005	140.625	124	161
186_7.xls:19	0.007	118.5	87	163
186_7.xls:20	0.014	121.221	94	161
186_7.xls:21	0.02	117.042	86	160
186_7.xls:22	0.014	112.548	87	156
186_7.xls:23	0.017	108.411	77	152
186_7.xls:24	0.018	124.678	94	158
186_7.xls:25	0.007	132.186	107	158
186_7.xls:26	0.018	107.272	44	165
186_7.xls:27	0.029	112.302	81	150
186_7.xls:28	0.03	114.014	75	165
186_7.xls:29	0.054	104.667	78	150
186_7.xls:30	0.008	139.771	115	165
186_7.xls:31	0.015	113.938	85	161
186_7.xls:32	0.01	134.315	110	163
186_7.xls:33	0.05	105.904	73	153
186_7.xls:34	0.019	111.781	91	149
186_7.xls:35	0.014	107.081	75	141
186_7.xls:36	0.017	105.275	83	146
186_7.xls:37	0.017	111.55	74	148
186_7.xls:38	0.014	115.114	92	140
186_7.xls:39	0.036	106.066	65	166
186_7.xls:40	0.014	137.598	116	165
186_7.xls:41	0.012	134.312	112	159
186_7.xls:42	0.018	128.931	101	165
186_7.xls:43	0.007	146.512	128	162
186_7.xls:44	0.041	100.941	70	159
186_7.xls:45	0.016	132.323	107	164
186_7.xls:46	0.009	138.538	125	157
186_7.xls:47	0.043	107.528	78	168
186_7.xls:48	0.021	138.722	121	168
186_7.xls:49	0.013	130.02	116	152
186_7.xls:50	0.045	110.213	78	157
186_8.xls:1	0.012	61.518	39	103
186_8.xls:2	0.012	74.799	43	128
186_8.xls:3	0.014	77.384	45	143
186_8.xls:4	0.01	60.917	34	120
186_8.xls:5	0.016	68.958	42	113
186_8.xls:6	0.013	70.573	44	129
186_8.xls:7	0.007	79.974	53	123
186_9.xls:1	0.023	85.58	50	133
186_9.xls:2	0.025	104.093	89	133
186_9.xls:3	0.027	86.947	61	128
186_9.xls:4	0.013	91.415	73	115
186_9.xls:5	0.005	107.323	96	125
186_9.xls:6	0.022	91.337	65	129
186_9.xls:7	0.02	82.839	67	117
186_9.xls:8	0.015	100.513	78	131
186_9.xls:9	0.036	92.282	71	130
186_9.xls:10	0.027	89.545	62	137
186_9.xls:11	0.029	79.187	57	135
186_9.xls:12	0.01	109.013	66	129
187+156_1.xls:1	0.008	102.137	89	136
187+156_1.xls:2	0.01	97.936	72	131
187+156_1.xls:3	0.008	90.016	72	117
187+156_1.xls:4	0.011	85.954	61	124
187+156_1.xls:5	0.014	80.493	63	124
187+156_1.xls:6	0.015	78.947	57	120
187+156_1.xls:7	0.018	70.455	52	104
187+156_1.xls:8	0.026	58.676	33	94
187+156_1.xls:9	0.015	97.51	85	127
187+156_1.xls:10	0.043	78.341	54	117
187+156_10.xls:1	0.003	100.401	87	116
187+156_10.xls:2	0.007	94.887	81	125
187+156_10.xls:3	0.011	87.39	72	113
187+156_10.xls:4	0.007	67.468	52	99
187+156_10.xls:5	0.011	71.176	50	107
187+156_10.xls:6	0.007	90.63	69	123
187+156_10.xls:7	0.018	66.112	44	105
187+156_10.xls:8	0.014	60.413	35	118
187+156_10.xls:9	0.013	80.989	61	119
187+156_10.xls:10	0.012	68.015	49	116
187+156_10.xls:11	0.007	89.591	72	117
187+156_10.xls:12	0.004	94.996	85	117
187+156_10.xls:13	0.005	93.647	70	122
187+156_10.xls:14	0.005	100.588	71	129
187+156_10.xls:15	0.045	65.382	38	122
187+156_10.xls:16	0.006	100.067	86	123
187+156_10.xls:17	0.053	77.196	57	114
187+156_2.xls:1	0.01	98.732	86	121
187+156_2.xls:2	0.018	101.262	85	144
187+156_2.xls:3	0.018	102.228	73	140
187+156_2.xls:4	0.02	105.097	84	140
187+156_2.xls:5	0.021	101.684	86	124
187+156_2.xls:6	0.037	95.005	78	133
187+156_2.xls:7	0.03	86.181	66	144
187+156_2.xls:8	0.033	82.614	64	119
187+156_2.xls:9	0.015	74.903	55	134
187+156_2.xls:10	0.017	70.74	48	142
187+156_2.xls:11	0.022	81	64	131
187+156_2.xls:12	0.03	77.186	41	131
187+156_2.xls:13	0.018	73.285	46	123
187+156_2.xls:14	0.027	90.892	64	136
187+156_2.xls:15	0.021	81.335	55	145
187+156_2.xls:16	0.014	102.113	78	140
187+156_2.xls:17	0.017	72.639	50	137
187+156_2.xls:18	0.014	79.325	59	142
187+156_2.xls:19	0.008	79.776	60	140
187+156_2.xls:20	0.011	84.672	64	139
187+156_2.xls:21	0.01	82.582	62	128
187+156_2.xls:22	0.015	75.539	54	139
187+156_2.xls:23	0.009	97.506	79	146
187+156_2.xls:24	0.005	87.562	67	113
187+156_2.xls:25	0.006	89.782	70	113
187+156_2.xls:26	0.005	97.331	73	126
187+156_2.xls:27	0.007	95.907	79	127
187+156_2.xls:28	0.007	94.241	71	132
187+156_2.xls:29	0.113	82.804	50	144
187+156_2.xls:30	0.016	99.808	74	136
187+156_2.xls:31	0.019	97.092	71	138
187+156_2.xls:32	0.004	102.609	69	133
187+156_2.xls:33	0.012	95.824	78	118
187+156_2.xls:34	0.021	83.94	64	122
187+156_2.xls:35	0.035	89.421	76	114
187+156_2.xls:36	0.063	67.599	45	135
187+156_3.xls:1	0.01	80.473	58	118
187+156_3.xls:2	0.015	76.599	56	109
187+156_3.xls:3	0.01	81.227	59	111
187+156_3.xls:4	0.013	65.697	47	120
187+156_3.xls:5	0.009	74.749	57	109
187+156_3.xls:6	0.015	57.134	38	106
187+156_3.xls:7	0.004	89.312	72	107
187+156_3.xls:8	0.016	66.344	47	120
187+156_3.xls:9	0.023	84.372	62	107
187+156_3.xls:10	0.068	64.9	40	110
187+156_3.xls:11	0.034	80.23	60	122
187+156_3.xls:12	0.028	71.338	51	119
187+156_3.xls:13	0.043	69.214	52	108
187+156_3.xls:14	0.031	85.703	67	129
187+156_3.xls:15	0.025	94.569	75	125
187+156_3.xls:16	0.084	68.372	47	111
187+156_4.xls:1	0.012	121.194	112	129
187+156_4.xls:2	0.025	108.053	79	131
187+156_4.xls:3	0.03	104.224	85	125
187+156_4.xls:4	0.023	107.873	92	124
187+156_4.xls:5	0.01	124.57	109	138
187+156_4.xls:6	0.018	119.453	105	135
187+156_4.xls:7	0.025	101.507	75	123
187+156_4.xls:8	0.041	94.754	69	125
187+156_4.xls:9	0.022	117.33	108	127
187+156_4.xls:10	0.017	116.296	99	134
187+156_4.xls:11	0.035	109.505	81	132
187+156_4.xls:12	0.031	116.162	97	136
187+156_4.xls:13	0.025	113.969	99	131
187+156_4.xls:14	0.051	98.194	65	127
187+156_4.xls:15	0.022	120.735	107	135
187+156_4.xls:16	0.022	106.746	94	127
187+156_4.xls:17	0.024	117.57	104	134
187+156_4.xls:18	0.031	106.802	71	132
187+156_4.xls:19	0.034	95.242	72	125
187+156_4.xls:20	0.039	94.79	59	129
187+156_4.xls:21	0.027	96.568	66	122
187+156_4.xls:22	0.028	104.466	78	125
187+156_4.xls:23	0.026	110.009	89	130
187+156_4.xls:24	0.023	102.385	85	128
187+156_4.xls:25	0.023	119.323	106	135
187+156_5.xls:1	0.088	60.217	18	117
187+156_5.xls:2	0.084	61.848	34	111
187+156_5.xls:3	0.042	51.258	33	113
187+156_5.xls:4	0.009	88.386	69	112
187+156_5.xls:5	0.03	63.544	45	123
187+156_5.xls:6	0.033	75.963	50	131
187+156_5.xls:7	0.015	80.403	43	126
187+156_5.xls:8	0.018	59.864	42	112
187+156_5.xls:9	0.011	73.732	62	117
187+156_5.xls:10	0.013	64.475	45	131
187+156_5.xls:11	0.007	71.639	46	118
187+156_5.xls:12	0.014	67.345	47	130
187+156_5.xls:13	0.006	69.357	47	112
187+156_5.xls:14	0.008	78.193	47	122
187+156_5.xls:15	0.008	73.528	57	115
187+156_6.xls:1	0.012	78.652	55	132
187+156_6.xls:2	0.047	87.894	34	145
187+156_6.xls:3	0.013	81.324	58	142
187+156_6.xls:4	0.016	68.097	48	103
187+156_6.xls:5	0.012	84.684	64	125
187+156_6.xls:6	0.009	88.552	62	139
187+156_7.xls:1	0.017	86.917	74	108
187+156_7.xls:2	0.02	83.729	67	107
187+156_7.xls:3	0.015	64.944	47	95
187+156_7.xls:4	0.006	100.54	90	113
187+156_7.xls:5	0.004	108.91	101	117
187+156_7.xls:6	0.014	93.649	77	111
187+156_7.xls:7	0.012	88.921	66	112
187+156_7.xls:8	0.01	84.889	65	103
187+156_7.xls:9	0.021	66.537	49	109
187+156_7.xls:10	0.015	80.363	63	119
187+156_7.xls:11	0.021	79.003	60	114
187+156_7.xls:12	0.019	66.717	50	96
187+156_7.xls:13	0.008	87.434	69	111
187+156_7.xls:14	0.011	78.662	61	113
187+156_7.xls:15	0.014	91.126	75	110
187+156_7.xls:16	0.027	79.792	58	110
187+156_7.xls:17	0.026	80.282	63	113
187+156_8.xls:1	0.009	112.21	94	143
187+156_8.xls:2	0.005	126.962	107	150
187+156_8.xls:3	0.018	103.252	83	131
187+156_8.xls:4	0.019	102	81	137
187+156_8.xls:5	0.005	137.967	129	147
187+156_8.xls:6	0.005	130.63	118	146
187+156_8.xls:7	0.029	96.758	73	136
187+156_8.xls:8	0.006	133.896	121	150
187+156_8.xls:9	0.007	110.294	94	147
187+156_8.xls:10	0.01	118.574	105	144
187+156_8.xls:11	0.005	135.246	127	146
187+156_8.xls:12	0.009	129.61	119	148
187+156_8.xls:13	0.007	125.439	115	140
187+156_8.xls:14	0.04	105.674	90	145
187+156_8.xls:15	0.018	119.817	99	141
187+184_1.xls:1	0.013	54.263	37	100
187+184_1.xls:2	0.005	93.92	69	119
187+184_1.xls:3	0.01	60.34	40	128
187+184_1.xls:4	0.013	62.343	41	104
187+184_1.xls:5	0.008	87.475	71	128
187+184_1.xls:6	0.008	75.35	47	119
187+184_1.xls:7	0.007	76.418	50	128
187+184_2.xls:1	0.023	75.323	58	104
187+184_2.xls:2	0.009	95.51	83	124
187+184_2.xls:3	0.042	74.27	46	123
187+184_2.xls:4	0.007	102.742	92	130
187+184_2.xls:5	0.01	84.593	69	117
187+184_2.xls:6	0.006	110.269	98	130
187+184_2.xls:7	0.009	103.695	91	122
187+184_2.xls:8	0.007	88.732	72	123
187+184_2.xls:9	0.01	92.482	77	117
187+184_2.xls:10	0.018	97.887	85	122
187+184_2.xls:11	0.01	77.463	61	114
187+184_2.xls:12	0.013	95.121	74	119
187+184_2.xls:13	0.013	92.205	71	128
187+184_2.xls:14	0.01	69.585	50	104
187+184_2.xls:15	0.013	98.5	82	119
187+184_2.xls:16	0.017	97.139	84	121
187+184_2.xls:17	0.028	88.884	64	108
187+184_2.xls:18	0.018	91.478	75	113
187+184_2.xls:19	0.017	87.438	68	115
187+184_2.xls:20	0.008	100.015	88	119
187+184_2.xls:21	0.016	83.624	66	119
187+184_2.xls:22	0.011	97.844	82	114
187+184_2.xls:23	0.017	101.218	86	125
187+184_2.xls:24	0.08	62.674	38	122
187+184_2.xls:25	0.062	67.116	44	114
187+184_2.xls:26	0.069	53.473	27	120
187+184_2.xls:27	0.016	89.729	65	130
187+184_2.xls:28	0.063	66.414	41	130
187+184_2.xls:29	0.013	93.461	83	111
187+184_2.xls:30	0.053	62.484	26	128
187+184_2.xls:31	0.013	104.319	88	128
187+184_2.xls:32	0.013	80.219	62	99
187+184_2.xls:33	0.062	65.454	43	102
187+184_2.xls:34	0.027	88.693	67	124
187+184_2.xls:35	0.054	52.952	35	104
187+184_2.xls:36	0.02	81.831	59	112
187+184_2.xls:37	0.05	60.825	34	110
187+184_2.xls:38	0.013	103.667	91	132
187+184_2.xls:39	0.082	64.495	43	111
187+184_2.xls:40	0.043	65.619	40	111
187+184_2.xls:41	0.08	56.621	35	108
187+184_3.xls:1	0.005	77.516	55	118
187+184_3.xls:2	0.013	72.356	42	124
187+184_3.xls:3	0.009	60.759	38	107
187+184_3.xls:4	0.003	84.333	62	125
187+184_3.xls:5	0.006	77	60	107
187+184_3.xls:6	0.004	68.893	48	106
187+184_3.xls:7	0.026	54.848	25	116
187+184_3.xls:8	0.015	50.962	30	102
187+184_3.xls:9	0.013	70.714	42	125
187+184_3.xls:10	0.034	65.038	40	134
187+184_3.xls:11	0.052	49.248	26	114
187+184_3.xls:12	0.011	82.512	68	109
187+184_3.xls:13	0.021	51.234	38	85
187+184_3.xls:14	0.061	50.445	30	119
187+184_3.xls:15	0.03	51.607	31	115
187+184_3.xls:16	0.036	44.535	29	85
187+184_3.xls:17	0.028	62.666	35	116
187+184_3.xls:18	0.015	76.398	59	112
187+184_3.xls:19	0.006	84.993	69	120
187+184_3.xls:20	0.035	58.642	29	121
187+184_3.xls:21	0.064	54.693	30	117
187+184_3.xls:22	0.044	51.69	31	113
187+184_3.xls:23	0.029	45.012	27	102
187+184_3.xls:24	0.026	60.287	45	101
187+184_3.xls:25	0.019	79.438	64	109
187+184_3.xls:26	0.057	51.438	27	102
187+184_3.xls:27	0.038	70.629	56	108
187+184_3.xls:28	0.033	66.967	53	95
187+184_3.xls:29	0.092	56.701	29	119
187+184_3.xls:30	0.08	50.259	30	91
187+184_3.xls:31	0.088	47.945	22	106
187+184_3.xls:32	0.102	59.036	28	105
187+184_3.xls:33	0.108	58.058	29	113
187+184_5.xls:1	0.022	87.928	56	141
187+184_5.xls:2	0.009	97.54	68	135
187+184_5.xls:3	0.008	91.002	62	134
187+184_5.xls:4	0.011	78.965	49	120
187+184_5.xls:5	0.034	64.815	38	102
187+184_5.xls:6	0.019	76.182	57	114
187+184_5.xls:7	0.017	73.197	46	126
187+184_5.xls:8	0.014	87.578	64	122
187+184_5.xls:9	0.002	109.784	94	134
187+184_6.xls:1	0.012	77.134	58	108
187+184_6.xls:2	0.017	70.549	50	114
187+184_6.xls:3	0.008	74.376	58	101
187+184_6.xls:4	0.007	81.392	66	110
187+184_6.xls:5	0.007	107.549	87	143
187+184_6.xls:6	0.007	97.915	76	142
187+184_6.xls:7	0.011	84.963	68	116
187+184_6.xls:8	0.01	63.818	51	83
187+184_6.xls:9	0.015	72.993	55	108
187+184_6.xls:10	0.008	86.778	60	123
187+184_6.xls:11	0.008	76.245	56	98
187+184_6.xls:12	0.01	71.64	42	109
187+184_6.xls:13	0.005	92.792	77	130
187+184_6.xls:14	0.01	92.392	61	141
187+184_6.xls:15	0.01	80.017	55	111
187+184_6.xls:16	0.005	76.185	51	114
187+184_6.xls:17	0.006	71.811	43	117
187+184_6.xls:18	0.014	74.089	48	116
187+184_6.xls:19	0.007	80.485	60	110
187+184_6.xls:20	0.005	82.996	65	121
187+184_6.xls:21	0.011	86.194	61	149
187+184_6.xls:22	0.014	63.323	37	119
187+184_6.xls:23	0.007	84.774	71	122
187+184_6.xls:24	0.01	67.794	48	105
187+184_6.xls:25	0.006	65.884	39	116
187+184_6.xls:26	0.01	79.553	60	114
187+184_6.xls:27	0.005	86.8	68	113
187+184_6.xls:28	0.006	76.936	60	103
187+184_6.xls:29	0.008	99.274	81	131
187+184_6.xls:30	0.006	86.708	64	109
187+184_7.xls:1	0.004	89.861	63	123
187+184_7.xls:2	0.005	90.913	77	109
187+184_7.xls:3	0.004	95.737	84	118
187+184_7.xls:4	0.005	86.045	74	105
187+184_7.xls:5	0.006	81.952	65	101
187+184_7.xls:6	0.003	92.2	84	110
187+184_7.xls:7	0.004	87.949	64	109
187+184_7.xls:8	0.008	74.727	61	115
187+184_7.xls:9	0.01	85.88	61	128
187+184_7.xls:10	0.009	78.745	53	122
187+184_7.xls:11	0.008	85.875	65	108
187+184_7.xls:12	0.011	86.471	69	119
187+184_7.xls:13	0.014	91.291	72	116
187+184_7.xls:14	0.01	92.089	82	121
187+184_7.xls:15	0.008	87.881	73	119
187+184_7.xls:16	0.005	91.606	79	110
187+184_7.xls:17	0.015	84.515	72	116
187+184_7.xls:18	0.006	88.265	76	109
187+184_7.xls:19	0.009	87.49	67	117
187+184_7.xls:20	0.008	88.188	76	129
187+184_7.xls:21	0.008	89.392	69	121
187+184_7.xls:22	0.011	87.668	64	121
187+184_7.xls:23	0.007	85.021	72	113
187+184_7.xls:24	0.006	77.095	64	104
187+184_7.xls:25	0.008	84.977	69	117
187+184_9.xls:1	0.017	82.439	64	112
187+184_9.xls:2	0.006	84.476	64	104
