Nodules	Area	Mean	Min	Max
131+200_1.xls:39	0.02	64.609	42	120
131+200_1.xls:40	0.026	63.696	40	133
131+200_1.xls:41	0.015	68.912	50	92
131+200_1.xls:42	0.035	51.74	32	90
131+200_1.xls:43	0.062	52.087	24	113
131+200_1.xls:44	0.13	47.53	22	128
131+200_1.xls:45	0.007	93.22	75	111
131+200_1.xls:46	0.012	72.775	54	100
131+200_10.xls:1	0.018	96.167	59	144
131+200_10.xls:2	0.023	76.196	49	146
131+200_10.xls:3	0.01	81.283	59	113
131+200_10.xls:4	0.007	91.069	63	146
131+200_2.xls:1	0.034	87.06	58	127
131+200_2.xls:2	0.014	91.968	67	121
131+200_2.xls:3	0.014	97.705	70	135
131+200_2.xls:4	0.015	102.122	65	139
131+200_2.xls:5	0.014	97.679	83	126
131+200_2.xls:6	0.025	93.761	68	138
131+200_2.xls:7	0.007	111.415	96	134
131+200_2.xls:8	0.009	109.583	93	135
131+200_2.xls:9	0.015	102.597	83	123
131+200_2.xls:10	0.01	109.702	89	134
131+200_2.xls:11	0.026	89.537	64	119
131+200_2.xls:12	0.027	99.292	73	136
131+200_2.xls:13	0.033	81.012	56	132
131+200_2.xls:14	0.016	101.441	86	127
131+200_2.xls:15	0.019	74.2	49	115
131+200_2.xls:16	0.015	89.35	56	133
131+200_2.xls:17	0.035	80.844	48	117
131+200_2.xls:18	0.03	83.79	57	118
131+200_3.xls:1	0.005	102.762	77	134
131+200_3.xls:2	0.008	86.683	68	123
131+200_3.xls:3	0.01	90.575	69	110
131+200_3.xls:4	0.004	106.817	91	126
131+200_3.xls:5	0.003	104.869	88	132
131+200_3.xls:6	0.009	90.02	58	127
131+200_3.xls:7	0.007	93.97	73	127
131+200_3.xls:8	0.006	93.861	70	119
131+200_3.xls:9	0.015	83.63	57	119
131+200_3.xls:10	0.008	81.29	59	129
131+200_3.xls:11	0.009	88.115	67	123
131+200_3.xls:12	0.01	80.547	57	125
131+200_3.xls:13	0.003	126.371	117	137
131+200_3.xls:14	0.008	95.731	74	130
131+200_3.xls:15	0.006	93.403	71	123
131+200_3.xls:16	0.01	97.948	85	128
131+200_4.xls:1	0.025	94.888	78	112
